"Data","Ora","PrezzoZonale","Quantita","Prezzo"
2023-11-01,"2",55.81293,159.674,115.8
2023-11-01,"2",55.81293,24.123,115
2023-11-01,"2",55.81293,95,111.84
2023-11-01,"2",55.81293,30.3,111.16
2023-11-01,"2",55.81293,25,109.77
2023-11-01,"2",55.81293,109.846,109.2
2023-11-01,"2",55.81293,141.349,107.8
2023-11-01,"2",55.81293,60,106.84
2023-11-01,"2",55.81293,89,105.74
2023-11-01,"2",55.81293,16,105.17
2023-11-01,"2",55.81293,60,103.74
2023-11-01,"2",55.81293,7.155,102.41
2023-11-01,"2",55.81293,60,101.84
2023-11-01,"2",55.81293,60,101.74
2023-11-01,"2",55.81293,11.2,101.18
2023-11-01,"2",55.81293,1.9,99.29
2023-11-01,"2",55.81293,0.531,99.22
2023-11-01,"2",55.81293,12.269,98.62
2023-11-01,"2",55.81293,0.318,98.49
2023-11-01,"2",55.81293,12.4,96.16
2023-11-01,"2",55.81293,7,95.58
2023-11-01,"2",55.81293,3.869,94.25
2023-11-01,"2",55.81293,2.745,79.7
2023-11-01,"2",55.81293,10,78.39
2023-11-01,"2",55.81293,7,77.04
2023-11-01,"2",55.81293,296,75.1
2023-11-01,"2",55.81293,6,75.04
2023-11-01,"2",55.81293,36,75
2023-11-01,"2",55.81293,6.726,73.51
2023-11-01,"2",55.81293,6,73.04
2023-11-01,"2",55.81293,6,71.04
2023-11-01,"2",55.81293,0.5,70.27
2023-11-01,"2",55.81293,19,69.74
2023-11-01,"2",55.81293,6.589,69.03
2023-11-01,"2",55.81293,3.391,68.85
2023-11-01,"2",55.81293,0.731,68.6
2023-11-01,"2",55.81293,19,64.74
2023-11-01,"2",55.81293,7.112,64.34
2023-11-01,"2",55.81293,16.031,63.69
2023-11-01,"2",55.81293,8.5,63.4
2023-11-01,"2",55.81293,38,59.74
2023-11-01,"2",55.81293,109.052,59.2
2023-11-01,"2",55.81293,227,54.74
2023-11-01,"2",55.81293,24.4,51.4
2023-11-01,"2",55.81293,9.794,50.99
2023-11-01,"2",55.81293,13.157,50
2023-11-01,"2",55.81293,71.95,46.58
2023-11-01,"2",55.81293,11.819,44.33
2023-11-01,"2",55.81293,66.94,43.93
2023-11-01,"2",55.81293,1.329,43.84
2023-11-01,"2",55.81293,1.951,43.83
2023-11-01,"2",55.81293,8,43.51
2023-11-01,"2",55.81293,28.471,38.74
2023-11-01,"2",55.81293,6.862,34.38
2023-11-01,"2",55.81293,4.647,34.02
2023-11-01,"2",55.81293,9.949,33.74
2023-11-01,"2",55.81293,25.635,32.41
2023-11-01,"2",55.81293,88.977,31
2023-11-01,"2",55.81293,375.715,30
2023-11-01,"2",55.81293,2.154,29.25
2023-11-01,"2",55.81293,0.02,25
2023-11-01,"2",55.81293,7,24.36
2023-11-01,"2",55.81293,8,24.22
2023-11-01,"2",55.81293,37.21,24.21
2023-11-01,"2",55.81293,20,24.12
2023-11-01,"2",55.81293,12.2,24.09
2023-11-01,"2",55.81293,8.86,23.76
2023-11-01,"2",55.81293,47.12,23.52
2023-11-01,"2",55.81293,626,20
2023-11-01,"2",55.81293,25.771,15
2023-11-01,"2",55.81293,25.381,14.2
2023-11-01,"2",55.81293,21.301,11
2023-11-01,"2",55.81293,2.7,10.8
2023-11-01,"2",55.81293,103.4,10
2023-11-01,"2",55.81293,7.7,9.9
2023-11-01,"2",55.81293,14.4,9.8
2023-11-01,"2",55.81293,9.7,9.7
2023-11-01,"2",55.81293,16.6,9.6
2023-11-01,"2",55.81293,12.3,9.5
2023-11-01,"2",55.81293,0.9,9.3
2023-11-01,"2",55.81293,79.8,9
2023-11-01,"2",55.81293,0.9,8.7
2023-11-01,"2",55.81293,4.5,8.5
2023-11-01,"2",55.81293,17.5,8
2023-11-01,"2",55.81293,11.8,7
2023-11-01,"2",55.81293,0.003,6
2023-11-01,"2",55.81293,209.051,5
2023-11-01,"2",55.81293,51,4
2023-11-01,"2",55.81293,14.629,3.74
2023-11-01,"2",55.81293,225.664,3
2023-11-01,"2",55.81293,2092.818,1
2023-11-01,"2",55.81293,5.717,0.55
2023-11-01,"2",55.81293,47.67,0.5
2023-11-01,"2",55.81293,111,0.2
2023-11-01,"2",55.81293,26.34,0.1
2023-11-01,"2",55.81293,0.25,0.05
2023-11-01,"2",55.81293,144.825,0.01
2023-11-01,"2",55.81293,10937.245,0
2023-11-01,"2",55.81293,70.355,-0.05
2023-11-01,"2",55.81293,290.158,-0.5
2023-11-01,"2",55.81293,29.991,-0.65
2023-11-01,"2",55.81293,653.036,-1
2023-11-01,"2",55.81293,30.2,-2
2023-11-01,"2",55.81293,86.4,-3.6
2023-11-01,"2",55.81293,106.832,-5
2023-11-01,"2",55.81293,0.2,-9.72
2023-11-01,"2",55.81293,25.117,-10
2023-11-01,"2",55.81293,296.016,-11
2023-11-01,"2",55.81293,123,-15.26
2023-11-01,"2",55.81293,9.1,-20.58
2023-11-01,"2",55.81293,2.5,-50
2023-11-01,"2",55.81293,215.897,-100
2023-11-01,"2",55.81293,900.986,-500
2023-11-01,"3",50.43919,0.001,800
2023-11-01,"3",50.43919,7.5,700
2023-11-01,"3",50.43919,0.003,632
2023-11-01,"3",50.43919,246.45,499
2023-11-01,"3",50.43919,101,353.29
2023-11-01,"3",50.43919,5478,304
2023-11-01,"3",50.43919,40,289
2023-11-01,"3",50.43919,60,275
2023-11-01,"3",50.43919,37,274
2023-11-01,"3",50.43919,10,273
2023-11-01,"3",50.43919,83,272
2023-11-01,"3",50.43919,1.1,270
2023-11-01,"3",50.43919,728.614,265
2023-11-01,"3",50.43919,2010,264.84
2023-11-01,"3",50.43919,3928.39,263
2023-11-01,"3",50.43919,288,262.1
2023-11-01,"3",50.43919,597.26,262
2023-11-01,"3",50.43919,1999.7,260
2023-11-01,"3",50.43919,106.4,256.89
2023-11-01,"3",50.43919,35.785,254.9
2023-11-01,"3",50.43919,1,250
2023-11-01,"3",50.43919,409.845,240
2023-11-01,"3",50.43919,70,238.22
2023-11-01,"3",50.43919,2574,237
2023-11-01,"3",50.43919,716.6,235
2023-11-01,"3",50.43919,369.2,234.56
2023-11-01,"3",50.43919,735.2,230
2023-11-01,"3",50.43919,2,224.37
2023-11-01,"3",50.43919,29,223.97
2023-11-01,"3",50.43919,44.766,221.1
2023-11-01,"3",50.43919,97,219
2023-11-01,"3",50.43919,349.4,215
2023-11-01,"3",50.43919,747,200.1
2023-11-01,"3",50.43919,447,200
2023-11-01,"3",50.43919,416.9,190
2023-11-01,"3",50.43919,193.4,185
